https://api.eia.gov/v2/electricity/retail-sales/data/,,,"{""frequency"":""annual"",""data"":[""price""],""facets"":{""stateid"": [""AL"", ""AR"", ""AZ"", ""CA"", ""CO"", ""CT"", ""DC"", ""DE"", ""ENC"", ""ESC"", ""MD"", ""MA"", ""MAT"", ""LA"", ""KY"", ""KS"", ""IN"", ""IL"", ""ID"", ""IA"", ""HI"", ""GA"", ""ESC"", ""AK"", ""AL"", ""AZ"", ""CA"", ""CO"", ""DC"", ""DE"", ""ESC"", ""GA"", ""HI"", ""IA"", ""ID"", ""IL"", ""IN"", ""KS"", ""MAT"", ""LA"", ""KS"", ""IN"", ""IL"", ""ID"", ""IA"", ""HI"", ""AZ"", ""CA"", ""CO"", ""DC"", ""DE"", ""ESC"", ""GA"", ""IA"", ""ID"", ""IL"", ""IN"", ""KS"", ""LA"", ""MAT"", ""MA"", ""MD"", ""ME"", ""MI"", ""MN"", ""MO"", ""MS"", ""MTN"", ""MT"", ""NC"", ""ND"", ""NEW"", ""NE"", ""NH"", ""NJ"", ""NM"", ""NV"", ""NY"", ""OH"", ""OK"", ""OR"", ""PACC"", ""PACN"", ""PA"", ""RI"", ""SAT"", ""SC"", ""SD"", ""TN"", ""TX"", ""US"", ""UT"", ""VA"", ""VT"", ""WA"", ""WI"", ""WNC"", ""WSC"", ""WV"", ""WY""]},""start"":""2001"",""end"":""2019"",""sort"":[{""column"":""period"",""direction"":""desc""}],""offset"":0,""length"":5000}",,,
Category,Category,Frequency,Data,Facet,,
Electricity,Electricity Sales to Ultimate Customers,annual,price,State / Census Region,,
electricity,retail-sales,annual,price,stateid,,
2009,NV,Nevada,RES,residential,12.86,cents per kilowatthour
2009,NV,Nevada,OTH,other,,cents per kilowatthour
2009,NV,Nevada,IND,industrial,7.97,cents per kilowatthour
2009,NV,Nevada,COM,commercial,10.64,cents per kilowatthour
2009,NV,Nevada,ALL,all sectors,10.36,cents per kilowatthour
2009,NE,Nebraska,TRA,transportation,0,cents per kilowatthour
2009,NE,Nebraska,RES,residential,8.52,cents per kilowatthour
2009,NE,Nebraska,OTH,other,,cents per kilowatthour
2009,NE,Nebraska,IND,industrial,5.75,cents per kilowatthour
2009,NE,Nebraska,COM,commercial,7.33,cents per kilowatthour
2009,NE,Nebraska,ALL,all sectors,7.21,cents per kilowatthour
2009,TN,Tennessee,ALL,all sectors,8.69,cents per kilowatthour
2009,SD,South Dakota,TRA,transportation,0,cents per kilowatthour
2009,SD,South Dakota,RES,residential,8.49,cents per kilowatthour
2009,SD,South Dakota,COM,commercial,7.14,cents per kilowatthour
2009,SD,South Dakota,ALL,all sectors,7.39,cents per kilowatthour
2009,SC,South Carolina,RES,residential,10.44,cents per kilowatthour
2009,SC,South Carolina,IND,industrial,5.79,cents per kilowatthour
2009,SC,South Carolina,ALL,all sectors,8.42,cents per kilowatthour
2009,RI,Rhode Island,TRA,transportation,0,cents per kilowatthour
2009,RI,Rhode Island,RES,residential,15.6,cents per kilowatthour
2009,RI,Rhode Island,COM,commercial,13.66,cents per kilowatthour
2009,RI,Rhode Island,ALL,all sectors,14.22,cents per kilowatthour
2009,PA,Pennsylvania,RES,residential,11.65,cents per kilowatthour
2009,PA,Pennsylvania,IND,industrial,7.21,cents per kilowatthour
2009,PA,Pennsylvania,ALL,all sectors,9.6,cents per kilowatthour
2009,OR,Oregon,TRA,transportation,6.83,cents per kilowatthour
2009,OR,Oregon,RES,residential,8.68,cents per kilowatthour
2009,OR,Oregon,COM,commercial,7.5,cents per kilowatthour
2009,OR,Oregon,ALL,all sectors,7.47,cents per kilowatthour
2009,OK,Oklahoma,TRA,transportation,0,cents per kilowatthour
2009,OK,Oklahoma,IND,industrial,4.82,cents per kilowatthour
2009,OK,Oklahoma,COM,commercial,6.76,cents per kilowatthour
2009,OH,Ohio,TRA,transportation,10.73,cents per kilowatthour
2009,OH,Ohio,RES,residential,10.67,cents per kilowatthour
2009,OH,Ohio,COM,commercial,9.65,cents per kilowatthour
2009,OH,Ohio,ALL,all sectors,9.02,cents per kilowatthour
2009,ND,North Dakota,RES,residential,7.58,cents per kilowatthour
2009,ND,North Dakota,IND,industrial,5.25,cents per kilowatthour
2009,ND,North Dakota,ALL,all sectors,6.63,cents per kilowatthour
2009,NC,North Carolina,TRA,transportation,6.83,cents per kilowatthour
2009,NC,North Carolina,RES,residential,9.99,cents per kilowatthour
2009,NC,North Carolina,COM,commercial,7.98,cents per kilowatthour
2009,NC,North Carolina,ALL,all sectors,8.48,cents per kilowatthour
2009,NY,New York,RES,residential,17.5,cents per kilowatthour
2009,NY,New York,COM,commercial,15.48,cents per kilowatthour
2009,NY,New York,ALL,all sectors,15.44,cents per kilowatthour
2009,NM,New Mexico,TRA,transportation,0,cents per kilowatthour
2009,NM,New Mexico,IND,industrial,5.72,cents per kilowatthour
2009,NM,New Mexico,COM,commercial,8.4,cents per kilowatthour
2009,NM,New Mexico,ALL,all sectors,8.09,cents per kilowatthour
2009,US,U.S. Total,TRA,transportation,10.66,cents per kilowatthour
2009,US,U.S. Total,RES,residential,11.51,cents per kilowatthour
2009,US,U.S. Total,OTH,other,,cents per kilowatthour
2009,US,U.S. Total,IND,industrial,6.83,cents per kilowatthour
2009,US,U.S. Total,COM,commercial,10.16,cents per kilowatthour
2009,US,U.S. Total,ALL,all sectors,9.82,cents per kilowatthour
2009,PACN,Pacific Noncontiguous,TRA,transportation,0,cents per kilowatthour
2009,PACN,Pacific Noncontiguous,RES,residential,21.31,cents per kilowatthour
2009,PACN,Pacific Noncontiguous,OTH,other,,cents per kilowatthour
2009,PACN,Pacific Noncontiguous,IND,industrial,16.83,cents per kilowatthour
2009,PACN,Pacific Noncontiguous,COM,commercial,18.48,cents per kilowatthour
2009,PACN,Pacific Noncontiguous,ALL,all sectors,18.87,cents per kilowatthour
2009,PACC,Pacific Contiguous,TRA,transportation,8.3,cents per kilowatthour
2009,PACC,Pacific Contiguous,RES,residential,12.15,cents per kilowatthour
2009,PACC,Pacific Contiguous,OTH,other,,cents per kilowatthour
2009,PACC,Pacific Contiguous,IND,industrial,8.01,cents per kilowatthour
2009,PACC,Pacific Contiguous,COM,commercial,11.59,cents per kilowatthour
2009,PACC,Pacific Contiguous,ALL,all sectors,11.04,cents per kilowatthour
2009,MTN,Mountain,TRA,transportation,8.38,cents per kilowatthour
2009,MTN,Mountain,RES,residential,10.18,cents per kilowatthour
2009,MTN,Mountain,OTH,other,,cents per kilowatthour
2009,MTN,Mountain,IND,industrial,6.09,cents per kilowatthour
2009,MTN,Mountain,COM,commercial,8.53,cents per kilowatthour
2009,MTN,Mountain,ALL,all sectors,8.41,cents per kilowatthour
2009,WSC,West South Central,TRA,transportation,9.87,cents per kilowatthour
2009,WSC,West South Central,RES,residential,11.04,cents per kilowatthour
2009,WSC,West South Central,OTH,other,,cents per kilowatthour
2009,WSC,West South Central,IND,industrial,6.21,cents per kilowatthour
2009,WSC,West South Central,COM,commercial,8.94,cents per kilowatthour
2009,ESC,East South Central,TRA,transportation,10.69,cents per kilowatthour
2009,ESC,East South Central,OTH,other,,cents per kilowatthour
2009,ESC,East South Central,ALL,all sectors,8.13,cents per kilowatthour
2009,SAT,South Atlantic,OTH,other,,cents per kilowatthour
2009,SAT,South Atlantic,IND,industrial,6.69,cents per kilowatthour
2009,WNC,West North Central,TRA,transportation,6.79,cents per kilowatthour
2009,WNC,West North Central,OTH,other,,cents per kilowatthour
2009,WNC,West North Central,ALL,all sectors,7.57,cents per kilowatthour
2009,ENC,East North Central,OTH,other,,cents per kilowatthour
2009,ENC,East North Central,IND,industrial,6.61,cents per kilowatthour
2009,MAT,Middle Atlantic,TRA,transportation,11.97,cents per kilowatthour
2009,MAT,Middle Atlantic,OTH,other,,cents per kilowatthour
2009,MAT,Middle Atlantic,COM,commercial,13.37,cents per kilowatthour
2009,NEW,New England,OTH,other,,cents per kilowatthour
2009,NEW,New England,IND,industrial,13.44,cents per kilowatthour
2009,WY,Wyoming,TRA,transportation,0,cents per kilowatthour
2009,WY,Wyoming,OTH,other,,cents per kilowatthour
2009,WY,Wyoming,COM,commercial,7.28,cents per kilowatthour
2009,WI,Wisconsin,OTH,other,,cents per kilowatthour
2009,WI,Wisconsin,IND,industrial,6.73,cents per kilowatthour
2009,WV,West Virginia,TRA,transportation,7.56,cents per kilowatthour
2009,WV,West Virginia,OTH,other,,cents per kilowatthour
2009,WV,West Virginia,COM,commercial,6.77,cents per kilowatthour
2009,WA,Washington,OTH,other,,cents per kilowatthour
2009,WA,Washington,IND,industrial,4.4,cents per kilowatthour
2009,VA,Virginia,TRA,transportation,8.42,cents per kilowatthour
2009,VA,Virginia,OTH,other,,cents per kilowatthour
2009,VA,Virginia,IND,industrial,6.91,cents per kilowatthour
2009,VT,Vermont,RES,residential,14.9,cents per kilowatthour
2009,VT,Vermont,OTH,other,,cents per kilowatthour
2009,UT,Utah,TRA,transportation,8.31,cents per kilowatthour
2009,UT,Utah,OTH,other,,cents per kilowatthour
2009,UT,Utah,IND,industrial,4.81,cents per kilowatthour
2009,TX,Texas,TRA,transportation,9.83,cents per kilowatthour
2009,TX,Texas,OTH,other,,cents per kilowatthour
2009,TX,Texas,COM,commercial,9.66,cents per kilowatthour
2009,TN,Tennessee,TRA,transportation,10.69,cents per kilowatthour
2009,TN,Tennessee,OTH,other,,cents per kilowatthour
2009,HI,Hawaii,TRA,transportation,0,cents per kilowatthour
2009,HI,Hawaii,OTH,other,,cents per kilowatthour
2009,HI,Hawaii,IND,industrial,18.14,cents per kilowatthour
2009,GA,Georgia,TRA,transportation,7.03,cents per kilowatthour
2009,GA,Georgia,OTH,other,,cents per kilowatthour
2009,GA,Georgia,COM,commercial,8.94,cents per kilowatthour
2009,DE,Delaware,COM,commercial,12.03,cents per kilowatthour
2009,DE,Delaware,IND,industrial,9.51,cents per kilowatthour
2009,DE,Delaware,OTH,other,,cents per kilowatthour
2009,DE,Delaware,RES,residential,14.07,cents per kilowatthour
2009,DE,Delaware,TRA,transportation,0,cents per kilowatthour
2009,DC,District of Columbia,ALL,all sectors,13.23,cents per kilowatthour
2009,DC,District of Columbia,COM,commercial,13.26,cents per kilowatthour
2009,DC,District of Columbia,IND,industrial,8.38,cents per kilowatthour
2009,DC,District of Columbia,OTH,other,,cents per kilowatthour
2009,DC,District of Columbia,RES,residential,13.73,cents per kilowatthour
2009,DC,District of Columbia,TRA,transportation,13.12,cents per kilowatthour
2009,AL,Alabama,ALL,all sectors,8.83,cents per kilowatthour
2009,AL,Alabama,COM,commercial,10.05,cents per kilowatthour
2009,AL,Alabama,IND,industrial,5.96,cents per kilowatthour
2009,AL,Alabama,OTH,other,,cents per kilowatthour
2009,AL,Alabama,RES,residential,10.66,cents per kilowatthour
2009,AL,Alabama,TRA,transportation,0,cents per kilowatthour
2009,AK,Alaska,ALL,all sectors,15.09,cents per kilowatthour
2009,AK,Alaska,COM,commercial,14.46,cents per kilowatthour
2009,AK,Alaska,IND,industrial,13.15,cents per kilowatthour
2009,AK,Alaska,OTH,other,,cents per kilowatthour
2009,AK,Alaska,RES,residential,17.14,cents per kilowatthour
2009,AK,Alaska,TRA,transportation,0,cents per kilowatthour
2009,AZ,Arizona,ALL,all sectors,9.56,cents per kilowatthour
2009,AZ,Arizona,COM,commercial,9.35,cents per kilowatthour
2009,AZ,Arizona,IND,industrial,6.65,cents per kilowatthour
2009,AZ,Arizona,OTH,other,,cents per kilowatthour
2009,AZ,Arizona,RES,residential,10.73,cents per kilowatthour
2009,AZ,Arizona,TRA,transportation,0,cents per kilowatthour
2009,AR,Arkansas,ALL,all sectors,7.57,cents per kilowatthour
2009,AR,Arkansas,COM,commercial,7.56,cents per kilowatthour
2009,AR,Arkansas,IND,industrial,5.76,cents per kilowatthour
2009,AR,Arkansas,OTH,other,,cents per kilowatthour
2009,AR,Arkansas,RES,residential,9.14,cents per kilowatthour
2009,AR,Arkansas,TRA,transportation,12.32,cents per kilowatthour
2009,CA,California,ALL,all sectors,13.24,cents per kilowatthour
2009,CA,California,COM,commercial,13.27,cents per kilowatthour
2009,CA,California,IND,industrial,10.42,cents per kilowatthour
2009,CA,California,OTH,other,,cents per kilowatthour
2009,CA,California,RES,residential,14.74,cents per kilowatthour
2009,CA,California,TRA,transportation,8.35,cents per kilowatthour
2009,CO,Colorado,ALL,all sectors,8.31,cents per kilowatthour
2009,CO,Colorado,COM,commercial,8.15,cents per kilowatthour
2009,CO,Colorado,IND,industrial,6.39,cents per kilowatthour
2009,CO,Colorado,OTH,other,,cents per kilowatthour
2009,CO,Colorado,RES,residential,10,cents per kilowatthour
2009,CO,Colorado,TRA,transportation,8.14,cents per kilowatthour
2009,CT,Connecticut,ALL,all sectors,18.07,cents per kilowatthour
2009,CT,Connecticut,COM,commercial,16.87,cents per kilowatthour
2009,CT,Connecticut,IND,industrial,14.99,cents per kilowatthour
2009,CT,Connecticut,OTH,other,,cents per kilowatthour
2009,CT,Connecticut,RES,residential,20.33,cents per kilowatthour
2009,CT,Connecticut,TRA,transportation,11.95,cents per kilowatthour
2009,UT,Utah,ALL,all sectors,6.77,cents per kilowatthour
2009,TN,Tennessee,IND,industrial,6.76,cents per kilowatthour
2009,UT,Utah,COM,commercial,6.96,cents per kilowatthour
2009,TN,Tennessee,RES,residential,9.32,cents per kilowatthour
2009,TX,Texas,ALL,all sectors,9.86,cents per kilowatthour
2009,TX,Texas,IND,industrial,6.74,cents per kilowatthour
2009,TX,Texas,RES,residential,12.38,cents per kilowatthour
2008,KS,Kansas,ALL,all sectors,7.45,cents per kilowatthour
2008,MAT,Middle Atlantic,IND,industrial,8.3,cents per kilowatthour
2008,MAT,Middle Atlantic,COM,commercial,13.99,cents per kilowatthour
2008,NEW,New England,TRA,transportation,12.02,cents per kilowatthour
2008,NEW,New England,RES,residential,17.65,cents per kilowatthour
2008,NEW,New England,COM,commercial,15.77,cents per kilowatthour
2008,NEW,New England,ALL,all sectors,16.06,cents per kilowatthour
2008,WY,Wyoming,RES,residential,8.21,cents per kilowatthour
2008,WY,Wyoming,IND,industrial,4.47,cents per kilowatthour
2008,WY,Wyoming,ALL,all sectors,5.67,cents per kilowatthour
2008,WI,Wisconsin,RES,residential,11.51,cents per kilowatthour
2008,WI,Wisconsin,COM,commercial,9.28,cents per kilowatthour
2008,WI,Wisconsin,ALL,all sectors,9,cents per kilowatthour
2008,WV,West Virginia,RES,residential,7.06,cents per kilowatthour
2008,WV,West Virginia,IND,industrial,4.2,cents per kilowatthour
2008,WV,West Virginia,COM,commercial,6.08,cents per kilowatthour
2008,WA,Washington,TRA,transportation,5.82,cents per kilowatthour
2008,WA,Washington,RES,residential,7.54,cents per kilowatthour
2008,WA,Washington,COM,commercial,6.77,cents per kilowatthour
2008,WA,Washington,ALL,all sectors,6.55,cents per kilowatthour
2008,VA,Virginia,RES,residential,9.62,cents per kilowatthour
2008,VA,Virginia,IND,industrial,5.82,cents per kilowatthour
2008,VA,Virginia,ALL,all sectors,8,cents per kilowatthour
2008,VT,Vermont,RES,residential,14.48,cents per kilowatthour
2008,VT,Vermont,COM,commercial,12.49,cents per kilowatthour
2008,VT,Vermont,ALL,all sectors,12.33,cents per kilowatthour
2008,UT,Utah,RES,residential,8.26,cents per kilowatthour
2008,UT,Utah,IND,industrial,4.59,cents per kilowatthour
2008,UT,Utah,ALL,all sectors,6.49,cents per kilowatthour
2008,TX,Texas,IND,industrial,8.79,cents per kilowatthour
2008,TX,Texas,COM,commercial,10.75,cents per kilowatthour
2008,US,U.S. Total,TRA,transportation,10.71,cents per kilowatthour
2008,US,U.S. Total,IND,industrial,6.96,cents per kilowatthour
2008,US,U.S. Total,COM,commercial,10.26,cents per kilowatthour
2008,PACN,Pacific Noncontiguous,RES,residential,25.99,cents per kilowatthour
2008,PACN,Pacific Noncontiguous,IND,industrial,22.95,cents per kilowatthour
2008,PACN,Pacific Noncontiguous,ALL,all sectors,23.73,cents per kilowatthour
2008,PACC,Pacific Contiguous,TRA,transportation,8.12,cents per kilowatthour
2008,PACC,Pacific Contiguous,RES,residential,11.55,cents per kilowatthour
2008,PACC,Pacific Contiguous,COM,commercial,11.04,cents per kilowatthour
2008,PACC,Pacific Contiguous,ALL,all sectors,10.57,cents per kilowatthour
2008,MTN,Mountain,RES,residential,9.84,cents per kilowatthour
2008,MTN,Mountain,IND,industrial,6.05,cents per kilowatthour
2008,MTN,Mountain,ALL,all sectors,8.18,cents per kilowatthour
2008,WSC,West South Central,RES,residential,11.86,cents per kilowatthour
2008,WSC,West South Central,IND,industrial,8.08,cents per kilowatthour
2008,WSC,West South Central,COM,commercial,10.12,cents per kilowatthour
2008,ESC,East South Central,RES,residential,9.32,cents per kilowatthour
2008,ESC,East South Central,COM,commercial,9.07,cents per kilowatthour
2008,ESC,East South Central,ALL,all sectors,7.87,cents per kilowatthour
2008,SAT,South Atlantic,RES,residential,10.67,cents per kilowatthour
2008,SAT,South Atlantic,IND,industrial,6.28,cents per kilowatthour
2008,SAT,South Atlantic,COM,commercial,9.31,cents per kilowatthour
2008,WNC,West North Central,RES,residential,8.67,cents per kilowatthour
2008,WNC,West North Central,COM,commercial,7.13,cents per kilowatthour
2008,WNC,West North Central,ALL,all sectors,7.13,cents per kilowatthour
2008,ENC,East North Central,TRA,transportation,7.86,cents per kilowatthour
2008,ENC,East North Central,IND,industrial,6.39,cents per kilowatthour
2008,ENC,East North Central,COM,commercial,9.04,cents per kilowatthour
2008,MAT,Middle Atlantic,TRA,transportation,11.61,cents per kilowatthour
2008,MAT,Middle Atlantic,RES,residential,14.88,cents per kilowatthour
2008,KS,Kansas,TRA,transportation,0,cents per kilowatthour
2008,KS,Kansas,IND,industrial,5.69,cents per kilowatthour
2008,KS,Kansas,COM,commercial,7.44,cents per kilowatthour
2008,OK,Oklahoma,TRA,transportation,0,cents per kilowatthour
2008,ND,North Dakota,TRA,transportation,0,cents per kilowatthour
2008,NY,New York,TRA,transportation,12.64,cents per kilowatthour
2008,NJ,New Jersey,TRA,transportation,13.23,cents per kilowatthour
2008,NH,New Hampshire,TRA,transportation,0,cents per kilowatthour
2008,NE,Nebraska,TRA,transportation,0,cents per kilowatthour
2008,MT,Montana,TRA,transportation,0,cents per kilowatthour
2008,MO,Missouri,TRA,transportation,5.4,cents per kilowatthour
2008,MN,Minnesota,TRA,transportation,8.04,cents per kilowatthour
2008,MA,Massachusetts,TRA,transportation,10.06,cents per kilowatthour
2008,ME,Maine,TRA,transportation,0,cents per kilowatthour
2008,IA,Iowa,TRA,transportation,0,cents per kilowatthour
2008,IN,Indiana,TRA,transportation,9.6,cents per kilowatthour
2008,ID,Idaho,TRA,transportation,0,cents per kilowatthour
2008,HI,Hawaii,TRA,transportation,0,cents per kilowatthour
2008,GA,Georgia,TRA,transportation,7.15,cents per kilowatthour
2008,DC,District of Columbia,TRA,transportation,14.01,cents per kilowatthour
2008,CT,Connecticut,TRA,transportation,15.44,cents per kilowatthour
2008,CO,Colorado,TRA,transportation,8.32,cents per kilowatthour
2008,AZ,Arizona,TRA,transportation,0,cents per kilowatthour
2008,AL,Alabama,TRA,transportation,0,cents per kilowatthour
2008,IA,Iowa,IND,industrial,4.81,cents per kilowatthour
2008,IA,Iowa,COM,commercial,7.18,cents per kilowatthour
2008,IN,Indiana,RES,residential,8.87,cents per kilowatthour
2008,IN,Indiana,COM,commercial,7.82,cents per kilowatthour
2008,IN,Indiana,ALL,all sectors,7.09,cents per kilowatthour
2008,IL,Illinois,RES,residential,11.07,cents per kilowatthour
2008,IL,Illinois,IND,industrial,7.34,cents per kilowatthour
2008,IL,Illinois,ALL,all sectors,9.23,cents per kilowatthour
2008,ID,Idaho,RES,residential,6.99,cents per kilowatthour
2008,ID,Idaho,COM,commercial,5.72,cents per kilowatthour
2008,ID,Idaho,ALL,all sectors,5.69,cents per kilowatthour
2008,HI,Hawaii,IND,industrial,26.05,cents per kilowatthour
2008,HI,Hawaii,COM,commercial,29.72,cents per kilowatthour
2008,GA,Georgia,RES,residential,9.93,cents per kilowatthour
2008,GA,Georgia,COM,commercial,9.07,cents per kilowatthour
2008,GA,Georgia,ALL,all sectors,8.84,cents per kilowatthour
2008,DC,District of Columbia,RES,residential,12.78,cents per kilowatthour
2008,DC,District of Columbia,COM,commercial,13.3,cents per kilowatthour
2008,DC,District of Columbia,ALL,all sectors,13.18,cents per kilowatthour
2008,DE,Delaware,RES,residential,13.93,cents per kilowatthour
2008,DE,Delaware,IND,industrial,10.49,cents per kilowatthour
2008,DE,Delaware,COM,commercial,12.09,cents per kilowatthour
2008,CT,Connecticut,RES,residential,19.54,cents per kilowatthour
2008,CT,Connecticut,COM,commercial,17.12,cents per kilowatthour
2008,CT,Connecticut,ALL,all sectors,17.8,cents per kilowatthour
2008,CO,Colorado,IND,industrial,6.65,cents per kilowatthour
2008,CO,Colorado,COM,commercial,8.57,cents per kilowatthour
2008,CA,California,TRA,transportation,8.16,cents per kilowatthour
2008,CA,California,RES,residential,13.81,cents per kilowatthour
2008,CA,California,COM,commercial,12.54,cents per kilowatthour
2008,CA,California,ALL,all sectors,12.49,cents per kilowatthour
2008,AR,Arkansas,RES,residential,9.27,cents per kilowatthour
2008,AR,Arkansas,IND,industrial,5.89,cents per kilowatthour
2008,AR,Arkansas,ALL,all sectors,7.6,cents per kilowatthour
2008,AZ,Arizona,RES,residential,10.27,cents per kilowatthour
2008,AZ,Arizona,COM,commercial,8.93,cents per kilowatthour
2008,AZ,Arizona,ALL,all sectors,9.11,cents per kilowatthour
2008,AK,Alaska,RES,residential,16.56,cents per kilowatthour
2008,AK,Alaska,IND,industrial,14.17,cents per kilowatthour
2008,AK,Alaska,ALL,all sectors,14.74,cents per kilowatthour
2008,AL,Alabama,RES,residential,10.4,cents per kilowatthour
2008,AL,Alabama,COM,commercial,9.87,cents per kilowatthour
2008,AL,Alabama,ALL,all sectors,8.59,cents per kilowatthour
2008,RI,Rhode Island,ALL,all sectors,16.04,cents per kilowatthour
2008,OR,Oregon,IND,industrial,5.26,cents per kilowatthour
2008,OR,Oregon,ALL,all sectors,7.24,cents per kilowatthour
2008,OK,Oklahoma,RES,residential,9.09,cents per kilowatthour
2008,OK,Oklahoma,COM,commercial,7.88,cents per kilowatthour
2008,OK,Oklahoma,ALL,all sectors,7.81,cents per kilowatthour
2008,OH,Ohio,RES,residential,10.06,cents per kilowatthour
2008,OH,Ohio,IND,industrial,6.2,cents per kilowatthour
2008,OH,Ohio,ALL,all sectors,8.39,cents per kilowatthour
2008,ND,North Dakota,RES,residential,7.51,cents per kilowatthour
2008,ND,North Dakota,COM,commercial,6.81,cents per kilowatthour
2008,ND,North Dakota,ALL,all sectors,6.69,cents per kilowatthour
2008,NC,North Carolina,RES,residential,9.52,cents per kilowatthour
2008,NC,North Carolina,IND,industrial,5.54,cents per kilowatthour
2008,NC,North Carolina,COM,commercial,7.55,cents per kilowatthour
2008,NY,New York,RES,residential,18.31,cents per kilowatthour
2008,NY,New York,COM,commercial,16.79,cents per kilowatthour
2008,NY,New York,ALL,all sectors,16.47,cents per kilowatthour
2008,NM,New Mexico,RES,residential,10.01,cents per kilowatthour
2008,NM,New Mexico,IND,industrial,6.38,cents per kilowatthour
2008,NM,New Mexico,ALL,all sectors,8.35,cents per kilowatthour
2008,NJ,New Jersey,RES,residential,15.66,cents per kilowatthour
2008,NJ,New Jersey,COM,commercial,14.03,cents per kilowatthour
2008,NJ,New Jersey,ALL,all sectors,14.43,cents per kilowatthour
2008,NH,New Hampshire,IND,industrial,13.13,cents per kilowatthour
2008,NH,New Hampshire,COM,commercial,14.3,cents per kilowatthour
2008,NH,New Hampshire,ALL,all sectors,14.63,cents per kilowatthour
2008,NV,Nevada,RES,residential,11.93,cents per kilowatthour
2008,NV,Nevada,IND,industrial,7.98,cents per kilowatthour
2008,NV,Nevada,ALL,all sectors,9.89,cents per kilowatthour
2008,NE,Nebraska,RES,residential,7.87,cents per kilowatthour
2008,NE,Nebraska,COM,commercial,6.68,cents per kilowatthour
2008,NE,Nebraska,ALL,all sectors,6.58,cents per kilowatthour
2008,MT,Montana,IND,industrial,5.9,cents per kilowatthour
2008,MT,Montana,COM,commercial,8.54,cents per kilowatthour
2008,MO,Missouri,RES,residential,8,cents per kilowatthour
2008,MO,Missouri,COM,commercial,6.61,cents per kilowatthour
2008,MO,Missouri,ALL,all sectors,6.84,cents per kilowatthour
2008,MS,Mississippi,RES,residential,10.39,cents per kilowatthour
2008,MS,Mississippi,IND,industrial,6.56,cents per kilowatthour
2008,MS,Mississippi,ALL,all sectors,8.99,cents per kilowatthour
2008,MN,Minnesota,RES,residential,9.74,cents per kilowatthour
2008,MN,Minnesota,COM,commercial,7.88,cents per kilowatthour
2008,MN,Minnesota,ALL,all sectors,7.79,cents per kilowatthour
2008,MI,Michigan,RES,residential,10.75,cents per kilowatthour
2008,MI,Michigan,IND,industrial,6.73,cents per kilowatthour
2008,MI,Michigan,ALL,all sectors,8.93,cents per kilowatthour
2008,MA,Massachusetts,RES,residential,17.56,cents per kilowatthour
2008,MA,Massachusetts,COM,commercial,16.07,cents per kilowatthour
2008,MA,Massachusetts,ALL,all sectors,16.23,cents per kilowatthour
2008,MD,Maryland,RES,residential,13.84,cents per kilowatthour
2008,MD,Maryland,IND,industrial,10.38,cents per kilowatthour
2008,MD,Maryland,ALL,all sectors,13.01,cents per kilowatthour
2008,ME,Maine,RES,residential,16.24,cents per kilowatthour
2008,ME,Maine,COM,commercial,12.95,cents per kilowatthour
2008,ME,Maine,ALL,all sectors,13.8,cents per kilowatthour
2008,LA,Louisiana,RES,residential,10.28,cents per kilowatthour
2008,LA,Louisiana,IND,industrial,7.94,cents per kilowatthour
2008,LA,Louisiana,ALL,all sectors,9.44,cents per kilowatthour
2008,KY,Kentucky,RES,residential,7.94,cents per kilowatthour
2008,KY,Kentucky,COM,commercial,7.29,cents per kilowatthour
2008,KY,Kentucky,ALL,all sectors,6.26,cents per kilowatthour
2008,PACN,Pacific Noncontiguous,TRA,transportation,0,cents per kilowatthour
2008,ESC,East South Central,TRA,transportation,10.17,cents per kilowatthour
2008,WNC,West North Central,TRA,transportation,6.67,cents per kilowatthour
2008,WI,Wisconsin,TRA,transportation,0,cents per kilowatthour
2008,VT,Vermont,TRA,transportation,0,cents per kilowatthour
2008,TX,Texas,TRA,transportation,8.64,cents per kilowatthour
2008,TN,Tennessee,TRA,transportation,10.17,cents per kilowatthour
2008,US,U.S. Total,RES,residential,11.26,cents per kilowatthour
2008,US,U.S. Total,OTH,other,,cents per kilowatthour
2008,US,U.S. Total,ALL,all sectors,9.74,cents per kilowatthour
2008,PACN,Pacific Noncontiguous,OTH,other,,cents per kilowatthour
2008,PACN,Pacific Noncontiguous,COM,commercial,22.5,cents per kilowatthour
2008,PACC,Pacific Contiguous,OTH,other,,cents per kilowatthour
2008,PACC,Pacific Contiguous,IND,industrial,7.97,cents per kilowatthour
2008,MTN,Mountain,TRA,transportation,8.25,cents per kilowatthour
2008,MTN,Mountain,OTH,other,,cents per kilowatthour
2008,MTN,Mountain,COM,commercial,8.36,cents per kilowatthour
2008,WSC,West South Central,TRA,transportation,8.88,cents per kilowatthour
2008,WSC,West South Central,OTH,other,,cents per kilowatthour
2008,WSC,West South Central,ALL,all sectors,10.13,cents per kilowatthour
2008,ESC,East South Central,OTH,other,,cents per kilowatthour
2008,ESC,East South Central,IND,industrial,5.75,cents per kilowatthour
2008,SAT,South Atlantic,TRA,transportation,10.94,cents per kilowatthour
2008,SAT,South Atlantic,OTH,other,,cents per kilowatthour
2008,SAT,South Atlantic,ALL,all sectors,9.33,cents per kilowatthour
2008,WNC,West North Central,OTH,other,,cents per kilowatthour
2008,WNC,West North Central,IND,industrial,5.32,cents per kilowatthour
